Player_Age,Player_Weight,Player_Height,Previous_Injuries,Training_Intensity,Recovery_Time,Likelihood_of_Injury
24,66.25193286,175.7324288,yes,0.457928994,5_Days,no
37,70.99627127,174.5816501,no,0.226521626,6_Days,yes
32,80.09378116,186.3296175,no,0.613970306,2_Days,yes
28,87.47327055,175.5042396,yes,0.252858118,4_Days,yes
25,84.65922008,190.1750123,no,0.577631754,1_Day,yes
38,75.82054871,206.6318235,yes,0.359208747,4_Days,no
24,70.12604976,177.0445876,no,0.823552227,2_Days,no
36,79.03820559,181.5231551,yes,0.820696161,3_Days,yes
28,64.08609563,183.7948206,yes,0.477350398,1_Day,yes
28,66.82998561,198.1150481,yes,0.350819109,1_Day,no
38,90.09771312,179.1735221,no,0.362559797,3_Days,no
21,79.0203448,171.7098308,no,0.805714526,4_Days,no
25,71.52473266,167.3365949,yes,0.328179483,5_Days,no
20,83.29138685,179.4201605,no,0.209059374,4_Days,no
39,87.86974964,175.5161978,yes,0.084688342,2_Days,yes
38,70.55362442,200.1000929,yes,0.466693121,6_Days,yes
19,70.72592058,197.6986242,no,0.482132099,5_Days,yes
29,69.47354227,169.6562717,yes,0.84090871,4_Days,yes
23,84.63850319,172.892399,no,0.221238696,6_Days,no
19,84.73557448,180.7377011,yes,0.380991274,6_Days,yes
38,88.85903321,193.9722642,no,0.808405739,3_Days,no
18,85.0860295,180.5701314,yes,0.823623611,2_Days,no
29,58.67781921,173.5275936,yes,0.384611076,2_Days,no
39,77.80964321,179.4111819,no,0.459124023,2_Days,no
29,64.41614597,173.7151514,yes,0.303285891,5_Days,no
34,69.87085625,186.0247721,yes,0.932554878,1_Day,no
27,76.70594204,172.9096629,no,0.118643766,5_Days,no
33,83.35565398,174.8956395,yes,0.933749423,4_Days,yes
32,66.09156658,191.6193381,no,0.683866452,6_Days,no
32,51.75280339,172.3163505,yes,0.531572153,6_Days,yes
36,76.80530842,165.5387197,no,0.032659061,1_Day,yes
29,101.4357158,180.9499375,yes,0.475596192,4_Days,no
37,72.9715378,176.395266,yes,0.407748105,1_Day,no
20,75.46915435,185.114155,yes,0.161218812,6_Days,yes
22,92.82163619,183.1747193,no,0.656409604,5_Days,yes
36,80.90274619,179.6808151,no,0.971150907,2_Days,yes
24,77.16861037,179.3895657,no,0.562188811,6_Days,yes
38,79.42116665,172.6414155,no,0.714753276,3_Days,no
26,77.50243933,180.8334707,yes,0.068450453,2_Days,no
24,63.60245572,188.8128478,yes,0.417666996,6_Days,no
35,61.58554842,170.2655326,no,0.116358485,5_Days,yes
21,93.86828112,179.9460262,no,0.612795836,1_Day,no
31,76.83883352,190.3838876,no,0.938482158,2_Days,yes
35,76.00095443,185.0542409,yes,0.661777732,5_Days,no
26,74.09772336,193.094729,no,0.076803048,4_Days,yes
38,82.81073268,174.3185767,no,0.354666205,3_Days,no
19,100.386911,161.6923155,yes,0.550663379,2_Days,no
37,80.23952667,182.006518,yes,0.403207756,1_Day,yes
32,69.11913174,183.6257082,no,0.83364401,4_Days,yes
24,73.66599142,193.6842195,yes,0.814671005,5_Days,yes
29,85.70996467,191.8814573,no,0.61183102,3_Days,yes
25,69.17199399,185.3674362,yes,0.373457945,1_Day,yes
32,83.52246489,187.6539021,no,0.255336374,5_Days,no
20,51.79262626,178.0817854,no,0.105874318,5_Days,yes
31,72.70120429,167.8088539,no,0.354897683,2_Days,no
34,81.28140013,181.1772122,no,0.413172517,2_Days,no
21,87.70125547,189.8257346,yes,0.675822925,1_Day,no
35,66.81525783,186.5636087,yes,0.658159824,6_Days,no
25,59.97234982,188.3380734,yes,0.07010814,6_Days,no
21,72.39264835,175.7224431,yes,0.395259315,5_Days,yes
19,63.74580992,177.3445316,no,0.181778867,2_Days,yes
23,73.50963333,184.8342549,no,0.156812705,3_Days,no
39,74.93346545,174.5349261,yes,0.82730215,3_Days,no
27,61.80854955,174.8428293,yes,0.041915217,5_Days,yes
21,83.0443911,182.9798224,yes,0.419182876,2_Days,yes
39,73.42786107,187.6090474,yes,0.168203656,1_Day,no
35,85.80459869,178.0047133,yes,0.879330216,1_Day,yes
29,56.5509476,168.3681054,no,0.557040513,1_Day,yes
19,64.82807829,172.6419608,no,0.231380636,3_Days,yes
27,80.16669309,182.0367208,no,0.502427287,2_Days,no
21,67.00889429,181.9152096,yes,0.73148636,2_Days,yes
31,73.35464342,182.4123814,yes,0.958118009,3_Days,no
33,75.00699118,185.2129529,yes,0.220446004,1_Day,no
32,76.58255981,180.0581056,yes,0.886181772,1_Day,no
25,68.22433787,182.6505604,no,0.934304114,5_Days,no
31,76.49286563,179.5497318,no,0.916420545,6_Days,no
25,67.17456295,191.4873348,yes,0.635414357,4_Days,yes
38,81.74280469,194.3234203,no,0.629820654,6_Days,no
33,73.85155981,168.1098872,no,0.403210633,2_Days,no
30,76.55036624,177.4474806,yes,0.752397882,2_Days,no
35,100.6992684,180.3272449,yes,0.531294018,2_Days,yes
32,63.92895545,177.3308529,yes,0.677438071,6_Days,yes
38,88.88582269,197.9292259,yes,0.428457904,4_Days,yes
30,48.40648643,182.2395528,yes,0.731496464,5_Days,yes
26,54.21623345,171.9462817,yes,0.824471518,6_Days,yes
32,62.59359922,185.9644234,no,0.146436257,4_Days,yes
30,63.22471635,182.7097454,no,0.832929716,1_Day,yes
18,77.03701798,183.0419292,yes,0.540296532,1_Day,no
24,77.89842264,198.0787616,no,0.844665909,2_Days,no
26,72.45178732,183.5078518,yes,0.431301706,3_Days,yes
18,73.50122033,176.9633848,yes,0.379040485,2_Days,no
29,80.27764761,160.4472357,yes,0.915060733,3_Days,no
25,83.33223878,178.3460098,yes,0.251169268,4_Days,yes
28,61.73460984,193.0596992,no,0.844212325,1_Day,no
36,71.38109029,179.0883088,yes,0.484020573,6_Days,no
34,74.30410177,157.599501,no,0.514095443,3_Days,yes
25,79.85315997,175.0163761,yes,0.308468281,4_Days,no
20,67.27332858,189.9268854,yes,0.573042201,1_Day,yes
20,74.10778824,185.4581717,yes,0.325211196,6_Days,yes
18,75.29983635,171.601191,no,0.039269414,3_Days,no
22,67.95529897,174.3471522,yes,0.271998605,2_Days,no
27,67.7168485,175.8929134,yes,0.006379043,2_Days,no
24,75.98745778,173.3728623,yes,0.978354787,2_Days,yes
26,73.69654854,159.7032613,no,0.96574721,4_Days,yes
24,80.00477519,187.635911,no,0.395155297,2_Days,yes
26,64.46741279,192.5705996,no,0.728370854,5_Days,no
25,71.49318472,164.8155106,yes,0.345806098,1_Day,no
29,72.70783948,192.4385293,no,0.671093157,4_Days,yes
19,83.13863908,178.969768,yes,0.805430043,6_Days,no
18,65.59586225,192.2513235,no,0.946756245,2_Days,no
33,77.34652005,180.3795044,no,0.400212276,1_Day,yes
22,77.52755508,181.3554459,yes,0.783297983,3_Days,yes
20,91.46397243,183.7243465,no,0.265928451,2_Days,no
29,64.92910636,172.0993367,yes,0.990332304,1_Day,yes
25,68.42766682,191.9467414,yes,0.025769599,5_Days,no
39,65.62644318,168.7861936,no,0.603528807,3_Days,yes
20,58.30220828,175.9793326,yes,0.659505982,5_Days,yes
18,92.64686934,185.2426468,yes,0.688045557,6_Days,yes
20,62.58498769,174.9080476,no,0.120387579,1_Day,no
22,66.83694591,187.7753124,no,0.938529783,5_Days,no
32,88.15766508,193.7586617,yes,0.181183279,6_Days,yes
31,57.46892953,190.12546,no,0.622753403,1_Day,yes
20,82.56351569,160.6388469,yes,0.222676079,1_Day,yes
18,60.86975655,181.2584697,yes,0.307216417,5_Days,no
22,87.46694737,190.2868261,no,0.546458542,1_Day,yes
31,53.30122313,166.8325115,no,0.417193419,2_Days,yes
24,57.46530584,187.2361059,no,0.160225601,1_Day,yes
26,69.55077765,186.6746078,no,0.170936402,4_Days,yes
32,84.7182269,167.8791011,yes,0.418144788,6_Days,no
32,74.69041749,188.3423267,yes,0.757282978,1_Day,no
27,71.64284927,182.7269779,no,0.897964647,4_Days,yes
30,88.46044207,186.5038179,no,0.084127662,1_Day,no
36,96.55239538,170.3368761,yes,0.393103908,1_Day,no
24,81.72257284,181.5013612,yes,0.100245564,5_Days,no
34,68.77145497,162.9512145,yes,0.016592481,2_Days,yes
37,70.81856966,157.2300879,yes,0.661718683,6_Days,no
21,62.1155262,181.4082843,no,0.602449442,2_Days,no
22,76.00817422,191.0059761,yes,0.163019114,3_Days,no
24,58.70407014,182.5293681,yes,0.233812833,5_Days,yes
30,80.51863655,179.3655394,no,0.023707754,5_Days,yes
32,95.05574046,178.1246588,yes,0.834947206,2_Days,no
28,82.1759158,170.5743461,yes,0.974690596,5_Days,no
21,70.3085228,177.781391,no,0.135459537,2_Days,yes
30,80.26937413,184.2168447,no,0.231475214,5_Days,yes
24,91.20533445,175.6477777,no,0.868409524,1_Day,no
36,90.70494635,187.5058685,yes,0.926463798,2_Days,no
39,64.96242108,181.9597503,yes,0.419627383,2_Days,yes
19,80.1029639,183.1697942,no,0.050622472,4_Days,yes
27,73.4189851,188.8866275,no,0.039391834,5_Days,no
30,83.06593248,174.7324457,yes,0.573949866,5_Days,yes
38,78.83613954,186.5938059,no,0.392895109,2_Days,no
23,51.30278591,176.1352328,no,0.028652428,1_Day,no
29,71.51986914,183.3951448,no,0.583252392,1_Day,no
29,76.98558363,173.5422865,yes,0.011302537,6_Days,yes
37,60.65635033,170.8929618,yes,0.787371958,1_Day,no
28,80.8102201,180.9186475,yes,0.306432823,5_Days,no
24,59.75984758,161.1479995,yes,0.040258003,4_Days,yes
18,67.01560953,177.0373256,yes,0.588352221,2_Days,yes
18,88.4131192,163.9362299,yes,0.397684414,3_Days,no
37,66.16222211,187.7923403,no,0.973800413,4_Days,no
30,80.73966959,190.501106,yes,0.544198663,3_Days,yes
26,57.46426282,171.3604878,yes,0.275239181,4_Days,yes
20,95.81314657,184.2831296,no,0.709438865,1_Day,yes
24,71.95446362,188.9913571,yes,0.271492003,5_Days,no
23,75.95320807,189.0246922,yes,0.904243291,3_Days,no
25,76.79036797,182.1445083,no,0.374721971,4_Days,no
26,81.07566864,187.3430468,no,0.549868563,5_Days,yes
22,59.80820017,173.5066869,no,0.050573104,3_Days,no
18,74.94663529,180.8312247,yes,0.426121238,2_Days,yes
36,68.41231174,175.3289659,no,0.83236354,4_Days,no
27,58.10442774,172.6621203,yes,0.805648805,2_Days,yes
29,84.871222,180.3606339,yes,0.224318559,1_Day,no
32,71.47827016,183.4753038,yes,0.226079071,2_Days,no
39,77.42520426,191.6350877,yes,0.817305312,2_Days,yes
26,76.79845419,182.6515553,no,0.93039842,6_Days,yes
37,71.65147728,186.4193053,no,0.095360921,4_Days,no
34,94.75027354,186.5328317,yes,0.450058639,1_Day,yes
34,74.52735347,206.8753437,no,0.337454279,2_Days,yes
37,59.42047682,161.899676,yes,0.870688455,5_Days,no
29,70.9961864,173.1206613,yes,0.083524915,3_Days,yes
24,79.9973762,194.7405605,yes,0.211125943,2_Days,no
19,80.32595109,176.4798693,no,0.752468338,1_Day,no
20,64.12219065,188.8580314,yes,0.051293849,2_Days,yes
